diagonal;height_left;height_right;margin_low;margin_up;length
172.04;103.67;103.6;4.09;3.14;112.99
172.07;104.5;104.23;6.19;3.07;111.21
172.13;104.15;103.93;3.97;2.87;113.31
171.59;103.23;103.64;4.01;2.94;113.59
171.74;104.02;104.22;5.33;2.94;112.26
172.06;103.87;103.83;4.09;2.92;113.19
172.0;104.2;104.35;5.18;3.31;111.95
171.66;103.43;103.54;4.38;3.51;113.2
172.03;104.19;104.01;3.99;3.04;113.15
171.97;103.62;103.64;4.47;2.65;113.7
171.98;104.44;104.26;5.75;3.2;110.93
172.34;104.54;103.56;4.04;3.42;112.93
172.28;103.98;103.98;4.51;2.92;113.07
171.96;104.18;104.14;3.35;2.7;113.56
172.18;104.65;103.81;3.95;3.07;113.03
171.93;104.15;103.98;4.57;3.57;112.71
171.96;103.68;103.84;4.46;3.07;112.74
171.83;103.56;103.76;5.56;3.49;110.7
172.15;104.02;103.94;3.96;2.87;112.38
171.57;104.07;103.85;3.82;3.44;113.4
171.59;103.93;103.95;5.25;3.38;111.71
171.83;104.01;103.88;4.18;3.04;112.69
171.95;103.77;103.81;4.13;3.09;113.24
172.02;103.89;103.93;4.14;3.18;113.75
172.17;104.27;104.32;4.52;3.32;113.48
171.79;103.81;103.97;5.86;3.2;111.04
172.08;104.49;103.96;4.38;3.14;113.42
171.55;104.05;104.05;4.29;2.99;113.37
172.43;104.32;103.95;4.13;3.39;111.5
172.26;104.03;103.98;3.97;2.97;112.89
171.96;104.47;104.06;4.84;3.76;111.04
171.43;104.42;103.41;4.06;3.13;113.26
172.22;104.41;104.64;5.2;3.37;112.2
172.34;104.26;103.76;4.01;3.17;113.28
172.09;103.14;103.81;4.88;3.01;113.69
171.87;103.99;104.03;4.42;2.89;112.72
172.36;103.93;104.0;6.08;3.76;112.89
171.96;103.84;103.62;;3.01;114.44
171.73;103.6;103.34;3.82;3.15;112.89
171.96;104.34;103.85;3.95;3.28;113.73
171.9;104.22;104.09;5.28;3.18;112.16
172.07;104.25;103.62;5.1;3.31;111.28
172.32;103.38;103.74;4.43;2.77;112.98
171.71;103.95;103.97;4.0;2.83;113.55
171.66;103.68;103.41;4.35;3.33;113.74
171.79;104.18;103.87;5.55;3.25;111.88
172.04;104.26;103.87;5.21;3.49;112.09
171.38;104.39;104.56;5.96;3.25;111.59
172.25;103.99;103.84;3.81;2.99;113.36
171.94;104.2;103.81;5.1;3.43;111.69
171.81;104.14;103.35;4.03;3.03;112.83
171.6;104.37;104.2;5.82;3.08;112.84
172.15;104.41;104.4;5.64;3.25;111.05
171.77;103.73;103.48;4.21;2.92;113.24
172.31;103.89;103.78;4.49;3.06;113.34
171.83;103.44;103.7;4.15;3.1;113.47
172.22;103.96;103.97;4.94;2.99;113.01
172.19;103.42;103.61;4.18;3.12;112.74
171.85;103.27;103.96;4.0;2.65;113.62
171.82;103.78;103.76;3.81;3.25;113.36
171.61;103.93;103.41;4.45;2.95;113.19
172.36;104.01;104.41;5.23;3.07;110.71
172.34;104.18;103.85;4.58;3.26;112.81
171.44;103.96;103.92;3.68;2.89;113.21
172.09;104.2;103.85;4.87;3.04;113.24
171.42;104.79;104.16;3.45;3.16;112.64
171.87;103.94;103.22;3.71;3.09;113.19
171.83;104.14;103.62;3.16;3.18;113.22
172.32;104.6;104.83;4.84;3.51;112.55
171.71;103.99;103.47;4.49;3.04;113.07
171.93;104.08;103.78;4.03;2.85;113.61
171.64;104.45;103.97;4.16;3.23;113.67
171.75;104.13;103.91;4.24;2.97;113.33
171.74;103.59;103.94;3.96;3.12;113.71
172.11;103.98;104.33;4.3;2.91;112.72
171.37;104.08;104.16;5.55;3.55;111.56
171.77;104.19;103.69;4.17;2.85;112.89
172.26;104.14;103.73;4.41;2.96;112.91
171.79;103.99;103.67;6.16;3.52;110.93
172.08;104.33;103.94;4.77;3.64;110.68
171.91;103.97;103.81;3.96;3.03;112.64
172.36;104.34;103.7;4.22;3.08;112.96
171.81;103.91;103.78;3.66;3.28;113.59
172.13;103.71;103.6;3.59;3.12;113.8
172.05;104.2;104.11;4.09;3.37;111.18
171.61;103.86;104.06;4.31;3.1;112.64
171.21;104.29;104.41;5.14;3.26;111.16
171.52;104.05;104.31;4.24;3.7;112.6
172.17;104.06;103.37;4.32;3.31;113.66
172.46;103.89;103.74;3.57;3.02;112.7
172.27;104.06;103.71;3.74;3.21;113.48
172.22;103.75;103.55;3.93;3.05;113.48
172.22;103.92;104.03;6.25;3.14;110.89
171.56;104.03;103.93;5.47;3.5;111.67
171.55;103.92;103.77;4.12;3.25;113.19
171.75;103.6;103.06;4.03;2.98;112.96
172.05;103.75;104.15;4.39;2.87;112.83
171.77;104.12;104.42;6.65;3.63;111.53
172.48;104.56;104.03;3.79;2.97;113.65
172.35;104.2;103.75;3.7;2.96;113.05
172.3;104.34;103.93;3.98;3.33;113.08
172.4;104.17;104.09;4.46;3.02;113.16
171.96;104.29;104.03;6.01;3.91;110.83
171.55;104.4;103.17;4.54;2.83;113.3
171.85;103.6;103.82;4.6;3.21;112.5
171.88;103.85;103.96;5.1;3.31;112.64
172.1;104.17;103.78;4.61;2.84;113.35
172.19;104.61;103.69;4.0;3.26;112.91
172.04;103.82;103.99;3.88;3.14;113.23
172.76;104.22;104.0;4.2;3.27;113.69
172.89;104.03;104.03;6.03;3.0;110.95
172.07;104.36;104.04;5.6;3.29;111.73
171.66;104.16;103.94;4.05;3.04;113.09
172.53;103.8;103.82;4.64;3.28;113.54
171.93;104.58;104.35;6.04;3.46;111.46
172.02;103.45;103.79;3.91;3.0;113.12
171.98;103.77;103.91;4.75;3.05;113.38
171.77;103.63;103.59;3.52;3.32;112.77
172.25;104.02;104.16;3.87;3.16;113.77
171.75;103.96;104.15;4.84;3.32;111.76
172.08;103.93;103.85;4.3;3.26;113.65
172.16;103.77;103.63;4.06;3.12;113.02
171.81;103.79;103.94;4.14;3.08;112.62
172.08;104.01;104.5;4.3;2.97;113.05
172.04;103.95;104.09;4.48;2.61;112.94
171.88;103.61;103.46;3.52;2.99;112.94
172.45;104.52;103.72;4.12;3.34;113.06
172.29;103.95;103.99;3.86;2.83;113.35
171.72;104.05;104.36;5.4;3.75;111.59
172.33;103.73;103.8;3.77;2.86;113.58
171.94;103.89;103.45;;3.25;112.79
172.11;104.14;104.15;4.84;3.28;110.98
172.09;103.7;104.27;5.53;3.51;112.2
171.59;103.8;104.08;4.18;3.17;113.04
172.06;104.28;104.06;5.17;3.46;112.25
172.12;103.2;103.92;4.46;3.26;113.44
172.1;104.3;104.21;4.07;3.41;111.27
171.25;104.23;103.93;4.36;2.68;113.5
171.67;104.08;104.73;4.93;3.31;111.81
171.88;104.04;104.08;3.8;3.01;113.6
171.62;104.21;103.99;5.5;3.45;111.35
172.0;103.84;103.72;4.77;2.87;113.84
172.16;104.17;103.27;4.1;3.11;113.08
171.94;104.06;104.22;6.9;3.36;111.7
171.94;103.88;104.1;6.05;3.39;111.52
171.65;104.32;104.38;5.65;3.24;112.3
171.95;103.85;104.28;4.13;3.22;113.24
172.49;104.33;104.03;4.28;3.07;112.71
171.93;104.07;104.18;;3.14;113.08
171.87;103.99;104.02;4.23;3.02;113.0
171.92;103.72;103.66;4.41;2.65;113.4
172.18;103.68;103.14;4.16;3.18;113.93
171.68;104.67;103.71;5.26;3.22;111.32
171.64;103.6;103.76;4.42;2.98;112.94
172.13;104.4;103.43;4.44;3.65;111.17
172.58;104.17;103.13;4.64;3.17;113.05
171.88;103.61;103.9;4.4;3.0;112.97
171.57;103.92;104.03;4.59;3.14;113.45
171.79;104.86;104.34;5.39;3.14;113.02
171.71;103.52;103.34;4.12;3.31;113.15
172.3;103.66;103.5;;3.16;112.95
172.05;104.15;104.56;5.35;3.56;111.2
171.95;104.25;103.64;3.24;2.81;113.42
172.14;104.34;104.2;4.63;3.02;112.47
172.0;104.36;104.16;4.94;3.25;111.82
171.92;104.39;103.93;5.18;3.02;111.44
172.05;104.22;104.05;5.87;3.18;111.13
172.16;103.92;103.76;4.35;2.84;113.21
172.04;104.16;104.05;4.0;3.28;112.78
171.41;104.06;104.42;5.04;3.4;111.02
172.26;104.04;104.43;3.82;3.47;111.95
172.4;104.27;104.18;4.92;3.17;111.79
172.08;103.98;104.23;4.99;3.31;112.19
172.58;103.99;103.63;4.43;3.07;112.79
172.16;103.93;103.04;4.14;2.99;113.26
171.99;104.1;103.57;3.64;3.42;113.64
171.97;104.0;103.37;3.86;3.21;112.87
171.4;103.88;103.54;3.75;2.8;113.01
172.27;104.12;103.96;4.12;2.74;113.12
171.84;104.03;103.88;4.31;3.18;113.07
171.52;104.08;104.06;4.41;3.36;113.32
171.9;103.4;103.45;4.09;3.33;112.97
172.05;103.79;104.17;4.08;3.12;112.77
172.08;103.96;104.95;5.22;3.45;112.07
172.52;104.48;104.17;5.16;3.39;110.71
171.67;104.57;103.43;3.57;3.25;112.76
171.65;103.94;104.19;4.67;3.32;110.95
172.17;104.33;104.53;5.06;3.71;111.75
172.07;104.21;103.82;4.29;3.35;113.3
171.26;103.59;103.8;4.11;3.25;113.03
171.64;104.18;103.78;3.49;3.74;113.94
172.07;104.05;103.82;3.71;3.61;113.05
171.87;104.71;103.85;4.36;2.71;113.71
171.99;104.23;104.33;5.13;3.21;110.99
171.97;104.85;104.52;5.87;3.56;110.98
171.99;103.74;103.46;4.0;2.76;113.33
171.91;103.97;103.98;4.23;3.01;112.98
172.13;104.08;103.64;3.93;2.82;112.85
172.28;104.62;103.8;4.08;3.08;113.26
172.29;104.72;104.86;5.71;3.16;112.15
172.45;103.78;103.79;3.9;2.87;112.34
171.9;104.25;104.64;4.46;3.07;110.86
172.02;104.23;104.26;4.92;2.89;113.49
172.04;104.32;103.81;5.57;3.57;112.37
172.17;103.31;103.89;4.38;3.13;113.48
171.62;103.4;104.05;3.53;2.96;112.72
171.47;104.46;104.3;4.12;3.06;113.59
171.68;103.89;103.7;5.97;3.03;109.97
172.45;103.95;103.5;4.1;3.08;113.23
171.46;103.36;103.66;3.77;2.99;113.09
171.82;104.12;103.95;4.18;3.01;113.47
172.02;103.67;104.22;4.4;3.04;113.33
172.1;103.99;104.02;4.19;3.21;113.12
171.81;103.84;103.66;4.35;2.93;112.97
171.77;103.92;103.9;4.61;2.95;112.95
171.62;103.49;103.58;3.95;3.0;113.1
172.19;103.96;104.03;3.95;3.2;112.71
172.17;104.33;104.24;4.93;3.43;112.06
172.0;104.23;103.74;4.41;2.76;112.96
171.92;104.84;104.6;5.96;2.92;110.69
171.88;104.47;103.45;4.56;3.33;113.01
171.89;103.99;103.45;4.12;3.1;113.0
171.56;103.81;103.8;4.24;3.35;113.8
172.09;104.02;103.79;3.8;3.28;112.98
171.47;104.33;104.03;5.25;3.01;111.68
171.8;104.22;103.74;3.66;3.08;113.53
172.27;104.06;104.24;5.43;3.35;110.29
172.1;104.16;104.34;6.0;3.09;111.62
172.07;103.72;103.44;4.03;2.9;113.55
172.3;103.82;104.09;4.18;3.22;113.23
172.4;104.55;104.22;5.18;3.51;111.94
171.65;103.43;103.83;4.36;3.1;113.53
171.84;104.52;104.19;4.6;3.47;110.64
172.31;103.98;103.53;4.04;2.97;113.47
172.19;104.07;104.02;4.19;3.37;113.27
172.02;104.51;103.69;6.23;3.39;112.35
171.53;104.56;103.9;3.99;3.08;113.15
172.47;104.46;103.41;4.4;2.99;113.36
171.94;104.38;103.81;4.87;3.39;111.22
172.01;103.93;103.69;3.89;3.34;113.16
172.07;104.35;104.43;4.1;3.02;112.76
172.02;103.99;104.28;4.22;2.98;112.42
172.12;104.32;103.19;4.04;3.28;113.11
171.49;104.02;103.9;4.37;3.11;112.93
171.55;104.2;104.49;5.42;3.54;109.93
171.91;104.34;103.77;4.45;2.95;112.66
172.25;103.96;103.49;4.5;3.29;113.29
171.84;104.23;104.31;5.1;3.68;111.72
171.52;103.85;103.75;3.95;3.09;112.97
171.73;104.17;104.02;3.64;2.64;112.72
171.95;104.0;103.88;5.8;2.96;111.79
171.86;103.77;103.93;4.83;3.17;113.35
171.65;103.77;103.95;4.18;3.16;113.26
171.65;103.88;103.59;3.94;3.05;113.28
172.27;103.88;104.16;5.91;3.31;110.91
171.5;104.52;104.19;4.84;3.12;110.37
171.77;104.34;103.44;5.12;3.36;111.49
171.77;103.62;103.32;3.9;3.17;113.45
171.9;103.67;103.15;4.55;3.15;113.12
172.4;104.32;103.6;4.13;2.92;113.4
171.95;104.39;103.59;4.69;2.81;113.65
172.06;104.19;103.59;4.39;3.22;113.69
171.92;103.67;104.24;4.11;3.09;113.23
172.11;104.36;104.01;4.14;3.17;112.59
172.05;103.72;103.81;4.21;2.97;113.61
172.13;104.1;103.69;4.39;2.86;113.06
171.91;104.0;104.49;4.68;3.42;111.82
172.09;103.78;104.22;4.16;3.18;113.3
171.13;104.13;104.26;3.86;3.69;111.52
171.95;103.65;103.9;3.98;3.2;112.68
172.02;104.43;104.37;5.59;3.06;110.35
171.92;104.66;104.31;5.15;3.33;112.75
172.13;103.57;103.8;4.4;3.16;113.75
171.99;103.75;103.53;3.79;2.81;112.52
171.7;103.74;103.89;4.43;2.8;112.59
172.31;103.94;103.89;4.0;3.2;113.8
171.73;104.38;103.26;4.0;3.04;112.72
172.02;104.42;102.91;3.86;3.12;113.43
172.08;104.03;103.42;3.79;2.77;113.27
171.68;103.9;103.68;3.78;2.74;113.6
171.69;103.9;104.13;4.07;2.92;113.52
172.03;104.46;103.8;5.59;3.56;111.86
171.84;104.46;104.15;4.51;3.39;110.73
172.1;104.1;104.2;5.16;3.16;111.85
172.46;103.51;103.85;4.23;3.14;113.38
171.95;103.89;103.69;4.45;3.42;112.02
171.88;103.87;104.02;4.12;3.33;112.47
171.98;104.33;103.61;3.68;3.14;113.41
172.2;104.35;103.67;4.44;3.38;113.65
171.9;104.11;103.69;3.68;3.08;112.74
171.84;104.06;104.1;4.87;3.25;111.04
171.81;103.91;104.77;5.28;3.58;111.33
171.88;103.92;104.27;6.7;3.11;110.93
172.21;103.48;104.04;4.4;3.0;113.15
171.89;103.42;103.35;4.92;3.02;113.2
171.63;104.05;104.25;4.61;3.1;110.91
171.85;103.85;103.45;3.85;3.09;113.1
172.08;103.78;103.13;3.44;2.88;113.22
171.9;103.94;104.59;5.04;3.23;111.57
172.92;103.55;103.94;4.78;3.27;113.55
172.35;103.62;103.78;4.38;2.86;113.28
171.94;103.91;103.99;4.02;2.94;113.06
171.88;104.3;104.18;5.34;3.33;112.69
171.67;103.74;103.7;4.01;2.87;113.29
172.04;104.34;104.48;4.88;3.28;112.15
172.02;103.58;103.8;3.95;3.46;112.4
171.93;103.58;104.02;4.14;2.86;113.47
171.26;104.02;103.93;5.6;3.12;112.48
172.45;103.99;104.39;3.43;2.66;112.93
172.52;104.32;103.86;3.7;3.14;113.36
171.82;103.97;103.88;4.73;3.55;111.87
171.76;104.48;104.01;4.35;3.37;113.09
171.52;103.97;103.81;4.08;3.07;112.74
172.2;104.56;103.58;5.19;3.62;111.17
171.88;103.91;103.88;4.05;3.16;113.24
171.81;104.44;104.23;5.29;3.39;111.64
172.26;103.94;103.95;5.7;3.26;112.61
171.41;104.03;104.21;4.26;3.11;113.49
172.28;104.11;104.19;3.93;3.08;113.51
172.26;104.06;103.99;4.03;2.84;113.14
172.38;103.72;103.88;4.36;3.05;113.19
171.83;103.8;104.22;4.66;2.76;113.25
172.15;104.28;103.67;4.28;3.24;113.35
171.83;104.01;103.92;4.35;3.08;112.47
171.73;104.32;104.07;6.56;3.3;112.8
172.14;104.34;103.98;3.84;2.98;113.05
172.49;104.44;103.98;4.08;3.07;113.16
171.87;104.76;104.02;6.3;3.61;111.29
171.79;104.37;103.37;4.31;3.18;113.61
171.94;104.14;104.14;4.69;3.06;112.04
171.95;104.47;104.34;5.92;3.1;113.17
172.24;104.31;104.66;4.2;3.61;112.37
172.03;104.69;103.87;4.17;2.79;112.85
172.25;104.14;103.76;3.84;2.81;112.72
171.82;103.65;103.64;4.25;2.8;112.57
172.12;104.08;104.49;4.09;3.56;113.5
171.93;103.98;104.07;4.41;2.96;113.02
171.59;104.06;103.99;3.93;3.24;112.8
171.91;103.91;103.98;4.78;3.65;111.41
172.07;103.74;103.76;;3.09;112.41
171.93;104.34;103.72;3.78;2.93;113.52
171.92;104.18;103.9;5.67;3.58;112.37
171.5;104.11;104.14;5.38;3.53;111.24
172.3;104.23;104.03;4.12;3.06;113.23
171.91;104.13;104.24;5.28;3.19;112.31
172.23;103.81;104.13;5.24;3.17;110.91
171.89;103.79;104.17;5.11;3.4;111.76
172.19;104.08;104.17;4.17;3.26;113.07
172.1;103.98;104.28;5.78;3.16;111.09
172.12;103.59;103.77;3.74;3.21;113.32
171.82;104.27;103.55;4.21;3.2;113.28
171.58;103.59;103.79;4.1;2.92;113.56
172.24;104.51;103.97;4.18;3.22;113.21
172.72;104.05;104.17;4.21;3.37;111.53
171.97;104.29;104.04;4.46;2.97;113.81
171.57;104.08;104.12;5.46;3.21;111.49
172.25;104.21;103.79;3.84;3.25;112.71
171.96;103.51;103.75;4.06;3.33;113.53
171.85;103.93;103.81;4.36;3.12;112.82
171.81;104.17;103.72;4.17;3.05;112.49
171.91;104.05;103.97;3.88;3.12;113.62
172.38;103.64;103.81;4.46;3.14;114.07
171.93;104.24;103.71;5.48;3.16;111.84
172.17;103.75;103.29;4.43;2.88;113.38
171.65;104.12;104.33;5.56;3.19;111.48
172.31;103.98;104.09;5.28;3.47;111.71
171.04;103.84;103.64;4.22;3.36;112.7
171.79;104.57;104.04;4.26;3.15;113.46
172.07;103.8;104.38;;3.02;112.93
172.03;104.52;103.96;4.3;3.48;112.16
172.4;103.86;103.88;3.87;2.97;113.49
171.91;103.97;103.6;4.66;3.03;114.04
172.27;103.78;103.86;4.25;2.86;112.73
171.51;104.49;103.4;3.85;3.12;112.76
172.26;103.88;104.15;4.3;2.98;113.24
172.17;103.61;104.33;3.39;2.82;112.79
172.01;103.62;103.26;4.91;2.86;113.16
172.35;104.13;103.58;4.75;3.19;113.42
172.32;103.69;103.6;4.24;3.29;112.74
171.74;104.05;103.93;5.38;3.49;111.34
171.81;103.53;103.96;;2.71;113.99
